,Well_Name,allprodmaxindex,allprodcum,allprodquarter,allprodhalf,allprodthreequarter,halfwaydays,threequarterdays,halfdaysdate,Cumsum_OilProd_Norm,Cumsum_OilProd_ERU
234,Koch 14-35 SBRRU,89525,786717.6206896547,2332.0,3920.0,5313.0,1588.0,1393.0,1996,0.0,786717.6206896547
235,Koch 14-3E SBRRU,34395,517415.1379310348,3738.0,5798.0,8123.0,2060.0,2325.0,1995,30003.793103448275,487411.34482758644
236,Koch 14-7 Seppala SBRRU,41474,353455.20689655165,3791.0,6127.0,8134.0,2336.0,2007.0,1995,43581.34482758621,309873.8620689656
239,Koch 21-33E Haivala Travers SBRRU,34568,30378.103448275848,344.0,888.0,1528.0,544.0,640.0,1979,25895.275862068953,4482.827586206897
241,Koch 23-25 WBRRU,101404,326152.1034482757,706.0,1760.0,3698.0,1054.0,1938.0,1996,0.0,326152.1034482757
242,Koch 24-13 Thune,85050,3227.0,116.0,231.0,358.0,115.0,127.0,1985,3227.0,0.0
243,Koch 24-4 Federal SBRRU,47665,234047.89655172423,2595.0,5356.0,7446.0,2761.0,2090.0,1993,46707.34482758618,187340.55172413797
244,Koch 31-15 SBRRU,82008,439819.4482758617,3315.0,5399.0,6901.0,2084.0,1502.0,1998,0.0,439819.4482758617
245,Koch 31-18 Piekkola,89255,5709.758620689655,87.0,193.0,314.0,106.0,121.0,1985,5709.758620689655,0.0
246,Koch 32-1 Smolniker WBRRU,100220,6081.862068965516,182.0,455.0,757.0,273.0,302.0,1990,4857.0,1224.8620689655172
247,Koch 32-12A SBRRU,101660,437591.6206896553,1545.0,2677.0,3495.0,1132.0,818.0,2000,0.0,437591.6206896553
248,Koch 32-12A Seppala,39861,215453.3448275863,1532.0,3678.0,4556.0,2146.0,878.0,1987,63804.03448275862,151649.31034482762
249,Koch 32-13 Seppala SBRRU,37778,404256.65517241403,4858.0,6358.0,7536.0,1500.0,1178.0,1995,21503.20689655172,382753.448275862
250,Koch 32-14E Tilus Seppala SBRRU,36744,340171.2413793103,5013.0,6704.0,8173.0,1691.0,1469.0,1998,36059.206896551725,304112.03448275855
251,Koch 32-16 State SBRRU,66264,221802.03448275858,2879.0,5604.0,8510.0,2725.0,2906.0,1997,12597.0,209205.0344827586
